"","hcode","DDlatJitter","DDlongJitter","disltyr","buycow","cotton","trans1yr","drkmix","buffevr","Div","Ccode","cluster","vc.herds","weight.h","entries"
"82",103,7.415420055,13.51200008,0,1,1,0,1,0,"VINA","VNG",30,99,33,3
"83",104,7.453879833,13.44470024,1,1,1,0,1,0,"VINA","VNG",30,99,33,3
"84",105,6.279467185,12.78928479,0,1,0,1,1,1,"DJEREM","DTI",38,153,30.6,5
"85",106,6.269504625,12.77589804,1,1,0,0,1,1,"DJEREM","DTI",38,153,30.6,5
"86",107,6.284448465,12.76474241,0,0,0,1,0,1,"DJEREM","DTI",39,153,30.6,5
"87",108,6.431819916,12.60659981,0,0,0,1,1,1,"DJEREM","DTI",38,153,30.6,5
"88",109,6.585420132,12.75599957,0,0,0,1,0,0,"DJEREM","DTI",39,153,30.6,5
"89",110,6.189804141,12.5237809,0,0,0,1,0,0,"DJEREM","DMA",40,83,13.83333333,6
"90",111,6.208068835,12.54386103,0,0,0,0,1,0,"DJEREM","DMA",41,83,13.83333333,6
"91",112,6.350865534,12.53939878,1,0,0,0,1,0,"DJEREM","DMA",40,83,13.83333333,6
"92",62,6.749680042,14.51580048,1,0,1,0,0,0,"MBERE","MGI",28,71,23.66666667,3
"93",63,6.704080105,14.4428997,1,1,1,0,1,0,"MBERE","MGI",28,71,23.66666667,3
"94",74,7.076472016,12.66657291,1,1,0,1,1,0,"FARO_ET_DEO","FDL",18,168,56,3
"95",77,7.034961348,12.64689891,1,0,0,1,1,0,"FARO_ET_DEO","FDL",18,168,56,3
"96",81,7.446849823,13.50510025,1,1,1,0,1,0,"VINA","VNG",30,99,33,3
"97",82,6.597919941,13.02760029,0,1,0,1,1,0,"DJEREM","DDI",31,91,30.33333333,3
"98",83,6.491670132,12.99499989,0,1,0,0,1,0,"DJEREM","DDI",31,91,30.33333333,3
"99",84,6.62225008,13.02980042,0,0,0,0,1,0,"DJEREM","DDI",31,91,30.33333333,3
"100",85,6.398069859,13.28120041,1,0,1,1,1,1,"DJEREM","DNL",32,589,196.3333333,3
"101",86,6.493830204,13.25819969,1,1,1,0,1,0,"DJEREM","DNL",32,589,196.3333333,3
"102",87,6.553679943,12.77680016,0,0,0,0,1,0,"DJEREM","DNT",33,259,51.8,5
"103",88,6.541120052,12.73159981,1,1,0,0,1,0,"DJEREM","DNT",34,259,51.8,5
"104",89,6.577330112,12.81190014,0,1,0,0,1,0,"DJEREM","DNT",33,259,51.8,5
"105",90,6.726220131,13.07670021,1,1,0,0,1,0,"DJEREM","DBG",35,135,45,3
"106",91,6.762651364,13.09718005,0,1,0,1,0,0,"DJEREM","DBG",35,135,45,3
"107",78,7.277880192,12.58880043,0,0,0,0,1,0,"FARO_ET_DEO","FGL",19,219,73,3
"108",92,6.75933051,13.12453802,1,0,0,1,1,0,"DJEREM","DBG",35,135,45,3
"109",94,6.20457983,14.40690041,1,0,0,1,0,0,"MBERE","MBA",36,195,65,3
"110",95,6.138879776,14.33479977,0,0,0,0,0,0,"MBERE","MBA",36,195,65,3
"111",96,6.344223827,13.76651758,1,0,1,0,1,0,"MBERE","MBD",37,104,52,2
"112",97,6.359179974,13.77400017,1,1,1,1,1,1,"MBERE","MBD",37,104,52,2
"113",98,6.482619762,14.12759972,1,1,0,0,0,0,"MBERE","MKI",52,78,39,2
"114",99,6.513599873,14.08469963,1,0,0,1,1,1,"MBERE","MKI",52,78,39,2
"115",100,6.561100006,13.31610012,1,1,1,1,0,0,"DJEREM","DNL",32,589,196.3333333,3
"116",101,6.611680031,12.83539963,1,0,0,1,1,0,"DJEREM","DNT",33,259,51.8,5
"117",113,6.334261267,12.57732791,0,0,0,0,1,0,"DJEREM","DMA",40,83,13.83333333,6
"118",114,6.330940414,12.54832328,1,0,0,1,1,1,"DJEREM","DMA",41,83,13.83333333,6
"119",115,6.359167668,12.57286566,0,0,0,0,1,0,"DJEREM","DMA",41,83,13.83333333,6
"120",116,6.387394922,12.37875777,0,1,0,0,0,0,"DJEREM","DAM",42,203,101.5,2
"121",117,6.407320043,12.36090877,0,1,0,0,1,0,"DJEREM","DAM",42,203,101.5,2
"122",118,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"123",119,6.684611307,12.02675483,1,1,0,1,1,1,"DJEREM","DDE",43,193,64.33333333,3
"124",120,6.671770096,12.05200005,1,0,0,1,1,1,"DJEREM","DDE",43,193,64.33333333,3
"125",121,6.612969875,12.09049988,0,0,0,1,0,1,"DJEREM","DDE",43,193,64.33333333,3
"126",123,6.786449909,13.9993,1,0,0,1,1,1,"VINA","VNA",44,222,74,3
"127",124,6.950449944,13.99549961,1,0,0,1,1,1,"VINA","VNA",44,222,74,3
"128",125,7.182739327,13.89592283,1,1,1,1,1,1,"VINA","VNE",45,444,148,3
"129",126,7.169455913,13.91154071,1,1,1,1,1,1,"VINA","VNE",45,444,148,3
"130",127,7.453169823,13.69999981,1,0,1,1,1,1,"VINA","VNE",45,444,148,3
"131",128,7.293469906,13.33380032,1,1,1,0,1,0,"VINA","VBM",46,240,40,6
"132",129,7.27240237,13.32504209,1,1,1,0,1,0,"VINA","VBM",47,240,40,6
"133",130,7.416859496,13.88049489,1,1,1,0,0,0,"VINA","VGH",50,103,17.16666667,6
"134",131,7.409880161,13.90380001,1,1,1,0,1,0,"VINA","VGH",50,103,17.16666667,6
"135",132,7.395370007,13.93700027,1,1,1,0,1,0,"VINA","VGH",50,103,17.16666667,6
"136",133,7.34380072,13.93180177,1,1,0,0,1,0,"VINA","VGH",49,103,17.16666667,6
